ID_CIDADE;NOME_CIDADE;UF;POPULACAO_TOTAL;PERC_POPULACAO_URBANA;PERC_POPULACAO_RURAL;PERC_POPULACAO_MASCULINA;PERC_POPULACAO_FEMININA;QTD_ANALFABETO_MAIS_15ANOS;TAXA_ANALFABETO_MAIS_15;QTD_DOMICILIOS;QTD_DOMICILIOS_RESP_HOMEM;QTD_DOMICILIOS_RESP_MULHER;PERC_DOMICILIOS_SANEAMENTO_ADEQUADO;PERC_DOMICILIOS_SANEAMENTO_SEMI_ADEQUADO;PERC_DOMICILIOS_SANEAMENTO_SEMI_INADEQUADO;MEDIA_REND_DOMICILIAR_PERCAPITA_NOM;MEDIA_REND_NOMINAL_HOMENS;MEDIA_REND_NOMINAL_MULHERES;MEDIANA_REND_NOMINAL_HOMENS;MEDIANA_REND_NOMINAL_MULHERES
4300034;Aceguá;RS;4394;24,1;75,9;52,4;47,6;214;6,4;1397;1119;279;25,3;74,3;0,4;591,94;1287,72;766,88;600;510
4300059;Água Santa;RS;3722;38,9;61,1;50,5;49,5;157;5,4;1165;1009;159;27,1;72,7;0,2;851,94;1587,26;1085,35;800;510
4300109;Agudo;RS;16722;41,2;58,8;49,9;50,1;917;6,8;5425;3880;1557;42,3;55,7;2;710,78;1150,1;883,48;700;560
4300208;Ajuricaba;RS;7255;56,6;43,4;49,4;50,6;304;5,1;2456;1801;666;15,6;84,2;0,1;812,12;1653,55;774,1;800;510
4300307;Alecrim;RS;7045;30,7;69,3;49,9;50,1;455;7,8;2471;1900;575;10,6;89,1;0,2;470,08;779,41;654,72;510;510
4300406;Alegrete;RS;77653;89,6;10,4;49;51;3631;5,9;25921;16677;9314;70,7;29,2;0,1;633,9;1264,55;850,09;660,5;510
4300455;Alegria;RS;4301;36,9;63,1;50;50;356;10,1;1491;1115;380;5,2;94;0,7;662,98;1275,76;733,21;510;510
4300471;Almirante Tamandaré do Sul;RS;2067;40,6;59,4;50,4;49,6;73;4,3;728;598;133;11,3;88,7;0;652,5;1147,7;775,72;775;510
4300505;Alpestre;RS;8027;27,5;72,5;51,4;48,6;814;12,7;2687;2104;584;13,1;85,2;1,6;474,43;781,8;651,32;510;510
4300554;Alto Alegre;RS;1848;40,2;59,8;51,1;48,9;111;7,3;623;511;113;12;88;0;716,02;1425,88;784,68;800;510
4300570;Alto Feliz;RS;2917;28;72;51,4;48,6;66;2,7;999;694;307;49,6;50,3;0,1;678,08;1020,16;790,09;850;650
4300604;Alvorada;RS;195673;100;0;48,6;51,4;5678;3,9;60211;31389;28870;85,6;14,4;0;506,88;1056,48;771,7;800;600
4300638;Amaral Ferrador;RS;6353;29,4;70,6;51,6;48,4;587;12;2094;1630;487;15,7;81,4;2,9;412,92;743,1;625,41;510;510
4300646;Ametista do Sul;RS;7323;52;48;51;49;630;11,4;2391;1799;602;15,7;82,6;1,6;460,59;863,73;643,93;510;510
4300661;André da Rocha;RS;1216;40,8;59,2;51;49;65;6,7;425;352;73;32,9;67,1;0;704,58;1165,31;915,42;800;600
4300703;Anta Gorda;RS;6073;38,4;61,6;49,8;50,2;288;5,6;1929;1601;341;45,8;53,9;0,3;697,32;1089,68;813,75;800;510
4300802;Antônio Prado;RS;12833;72;28;49,9;50,1;508;4,8;4238;3100;1147;75,7;24,2;0;823,63;1368,09;906,04;1000;650
4300851;Arambaré;RS;3693;78,9;21,1;50,2;49,8;215;7,4;1331;985;352;58,8;41,2;0;542,54;1039,07;785,45;650;510
4300877;Araricá;RS;4864;82,2;17,8;50,5;49,5;183;4,9;1688;1121;568;1;99;0;526,65;984,63;714,18;700;600
4300901;Aratiba;RS;6565;50,5;49,5;50,9;49,1;241;4,4;2164;1641;526;47,9;52,1;0;838,94;1418,79;924,55;765;510
4301008;Arroio do Meio;RS;18783;78,1;21,9;49,8;50,2;290;1,9;6240;4044;2198;48,3;51,6;0;811,83;1262,58;916,21;900;636
4301057;Arroio do Sal;RS;7740;97;3;49,5;50,5;235;3,9;2756;1598;1173;25,8;74,2;0;679,42;1265,14;898,18;900;600
4301073;Arroio do Padre;RS;2730;16,6;83,4;51,8;48,2;106;4,8;708;621;88;3,2;91,9;4,8;538,03;1354,04;716,91;700;510
4301107;Arroio dos Ratos;RS;13606;95,2;4,8;48,8;51,2;753;7,1;4608;2787;1823;67,8;32,2;0;526,72;1014,41;740,31;700;510
4301206;Arroio do Tigre;RS;12648;47,1;52,9;50,5;49,5;701;7;3944;2922;1026;37,2;61,3;1,5;529,15;914,44;764,02;510;510
4301305;Arroio Grande;RS;18470;87,1;12,9;49,7;50,3;1180;8,2;6494;3892;2613;66,7;33,2;0,1;476,48;953,18;687,75;511;510
4301404;Arvorezinha;RS;10225;61,3;38,7;50,2;49,8;674;8,3;3211;2334;882;44;55,3;0,7;581,97;966,5;731,35;600;510
4301503;Augusto Pestana;RS;7096;51,5;48,5;49,1;50,9;250;4,2;2534;1881;657;17,3;82,7;0;945,07;1484,4;1103,92;900;655,5
4301552;Áurea;RS;3665;41,9;58,1;49,3;50,7;163;5,4;1218;839;383;19,8;80,1;0,1;568,4;914,32;727,31;600;510
4301602;Bagé;RS;116794;83,7;16,3;47,8;52,2;4504;4,9;38504;21020;17512;84,5;15,5;0,1;648,39;1296,4;943,73;700;510
4301636;Balneário Pinhal;RS;10856;99;1;49,2;50,8;429;5,2;3784;2252;1541;34,7;65,3;0;583,94;1205,22;871,08;800;511
4301651;Barão;RS;5741;51,7;48,3;50,7;49,3;144;3,1;1849;1229;621;29,6;70,3;0,1;777,7;1161,38;882,04;900;697,5
4301701;Barão de Cotegipe;RS;6529;60,7;39,3;50,5;49,5;203;3,8;2096;1618;480;53,6;46,1;0,3;656,21;1138,28;784,25;780;550
4301750;Barão do Triunfo;RS;7018;9,9;90,1;53,3;46,7;520;9,7;2354;1927;430;8,7;84,8;6,5;402,26;784,62;628,49;510;510
4301800;Barracão;RS;5357;56,7;43,3;50,2;49,8;374;8,8;1814;1216;602;32,6;67;0,3;561,59;1167,44;726,78;600;510
4301859;Barra do Guarita;RS;3089;44,4;55,6;50,2;49,8;234;9,9;1003;732;280;3,4;96;0,6;475,09;852,39;657,4;600;510
4301875;Barra do Quaraí;RS;4012;70,8;29,2;53;47;217;7,4;1212;874;346;46,5;53,3;0,2;350,12;830,24;617,39;600;510
4301909;Barra do Ribeiro;RS;12572;73,9;26,1;49,7;50,3;686;7;4261;2736;1537;66,3;33,4;0,3;534,56;1043,94;770,33;700;510
4301925;Barra do Rio Azul;RS;2003;20,1;79,9;52,4;47,6;134;8;620;543;78;17,3;82,7;0;599,63;918,4;759,5;600;510
4301958;Barra Funda;RS;2367;64,3;35,7;49,7;50,3;98;5,1;718;472;249;32,2;67,8;0;683,53;1064,16;813,59;750;555
4302006;Barros Cassal;RS;11133;31,7;68,3;51,5;48,5;1255;15,1;3565;2625;975;22,8;69,6;7,6;449,63;839,81;665,97;510;510
4302055;Benjamin Constant do Sul;RS;2307;14,8;85,2;51,8;48,2;226;13,8;621;484;138;24,6;73,4;1,9;316,64;637,26;511,98;510;510
4302105;Bento Gonçalves;RS;107278;92,3;7,7;49,1;50,9;1965;2,2;36513;22168;14363;84,2;15,8;0;1001,03;1683,13;1126,22;1100;800
4302154;Boa Vista das Missões;RS;2114;41,9;58,1;50;50;146;9;703;458;246;4,8;95;0,1;489,93;1065,45;663,19;750;510
4302204;Boa Vista do Buricá;RS;6574;66,4;33,6;50,1;49,9;102;1,9;2225;1732;501;7,7;92,3;0;797,97;1282,23;887,47;800;582,5
4302220;Boa Vista do Cadeado;RS;2441;19,3;80,7;51,5;48,5;104;5,2;810;642;169;3,1;96,7;0,2;637,59;1205,24;784,23;700;510
4302238;Boa Vista do Incra;RS;2425;29,9;70,1;51,3;48,7;97;5;777;610;174;0,4;99,6;0;605,32;1166,3;792,62;700;510
4302253;Boa Vista do Sul;RS;2776;14,1;85,9;52,9;47,1;177;7,4;915;728;188;2,3;97,7;0;813,65;1219,37;799,68;780;600
4302303;Bom Jesus;RS;11519;74,6;25,4;49,5;50,5;685;7,9;3827;2631;1197;62,9;36,3;0,8;482,17;997,08;738,34;600;510
4302352;Bom Princípio;RS;11789;78;22;51,1;48,9;163;1,7;3848;2750;1103;50,6;49,4;0;745,29;1190,43;837,92;950;620
4302378;Bom Progresso;RS;2328;49,2;50,8;50,1;49,9;187;10,2;782;511;271;20,3;79,3;0,4;516,21;1001,42;756,22;600;510
4302402;Bom Retiro do Sul;RS;11472;79,9;20,1;49,3;50,7;317;3,5;4036;2636;1401;70,9;29,1;0;647,56;1069,52;786,41;800;600
4302451;Boqueirão do Leão;RS;7673;21,8;78,2;51,3;48,7;631;10,8;2467;1840;646;22,1;76,2;1,7;545,58;1049,52;844,99;698;510
4302501;Bossoroca;RS;6884;53,5;46,5;51;49;431;8;2382;1484;898;14,2;85,8;0;464,39;961,66;641,99;510;510
4302584;Bozano;RS;2200;28,6;71,4;50;50;94;5,2;702;587;116;21,9;77,9;0,1;768,41;1339,14;860,37;800;660
4302600;Braga;RS;3702;61,6;38,4;50,4;49,6;393;13,8;1211;853;366;6,2;92,7;1,1;448,36;968,72;598,13;510;510
4302659;Brochier;RS;4675;49,1;50,9;51,3;48,7;130;3,3;1670;1265;407;26,4;73,5;0,1;614,66;975,6;734,25;700;510
4302709;Butiá;RS;20406;94,7;5,3;49,2;50,8;1324;8,5;6746;3685;3071;66,4;33,6;0;511,31;1067,1;751,32;760;510
4302808;Caçapava do Sul;RS;33690;75,4;24,6;48,5;51,5;2231;8,2;12100;7171;4936;50,4;48,9;0,7;528,96;979,03;774,62;600;510
4302907;Cacequi;RS;13676;87,4;12,6;50;50;802;7,5;4493;3018;1486;48,1;51,5;0,3;499,01;1027,81;721,3;550;510
4303004;Cachoeira do Sul;RS;83827;85,5;14,5;48,2;51,8;5019;7,5;29374;17626;11784;36,3;63,5;0,2;657,3;1237,5;890,4;700;510
4303103;Cachoeirinha;RS;118278;100;0;48,3;51,7;2712;2,9;38874;22177;16713;82,4;17,6;0;718,31;1399,14;985,66;1000;700
4303202;Cacique Doble;RS;4868;33,4;66,6;49,7;50,3;383;10,1;1453;1131;322;30,1;68,1;1,8;470,37;917,9;692,27;510;510
4303301;Caibaté;RS;4954;55,4;44,6;51,1;48,9;278;7;1720;1223;507;16;83,7;0,3;580,06;1051,5;724,73;600;510
4303400;Caiçara;RS;5071;31,4;68,6;51;49;310;7,6;1621;1248;380;15,9;83,3;0,7;595,64;1052,04;783,51;600;510
4303509;Camaquã;RS;62764;78,6;21,4;49,2;50,8;3548;7,2;20758;14121;6672;73,6;26;0,4;580,04;1156,83;811,07;700;510
4303558;Camargo;RS;2592;42,2;57,8;49,8;50,2;181;8,6;835;678;157;44,4;55,4;0,1;832,96;1497,81;977,28;1000;600
